brand,model,model_year,milage,fuel_type,transmission,ext_col,int_col,accident,clean_title,price,hp,liters
Toyota,Land Cruiser Base,1997,213000,Gasoline,4-Speed A/T,White,Beige,0,1,26500.0,212.0,4.5
Nissan,GT-R Premium,2020,16010,Gasoline,A/T,White,Black,0,1,99175.0,565.0,3.8
Lexus,NX 350 F SPORT Handling,2023,820,Gasoline,8-SPEED AT,Black,Black,0,0,51998.0,301.0,2.4
Audi,Q7 45 Premium Plus,2021,68000,Gasoline,8-Speed A/T,Blue,Black,0,1,36499.0,248.0,2.0
Lexus,LX 470 Base,1999,82000,Gasoline,A/T,White,Beige,0,1,25000.0,230.0,4.7
GMC,Terrain SLE,2022,27352,Gasoline,9-Speed Automatic,Summit White,Jet Black,0,0,27785.0,182.0,1.5
Ford,Escape Limited,2012,129000,Gasoline,A/T,White,Gray,1,1,7000.0,171.0,2.5
Lexus,LS 460 L,2014,106731,Gasoline,8-Speed A/T,White,Beige,1,1,30000.0,360.0,4.6
Ford,Expedition Platinum,2019,34672,Gasoline,10-Speed A/T,White,White,0,1,45500.0,400.0,3.5
Chevrolet,Malibu LTZ,2010,55900,Gasoline,Transmission w/Dual Shift Mode,Beige,Beige,0,1,8950.0,252.0,3.6
Audi,RS 7 4.0T quattro,2023,3158,Gasoline,1-Speed Automatic,Daytona Gray Pearl Effect,Black / Express Red,0,0,99175.0,333.0,4.0
Audi,A5 2.0T Premium Plus,2015,82000,Gasoline,8-Speed A/T,White,Brown,0,1,17000.0,220.0,2.0
Genesis,G70 2.0T,2023,4785,Gasoline,Automatic,Vik Black,Obsidian Black,0,1,42850.0,252.0,2.0
Chevrolet,Trailblazer LS,2021,20497,Gasoline,9-Speed Automatic,Pacific Blue Metallic,Black,0,0,22999.0,355.0,1.3
Scion,tC Base,2013,177600,Gasoline,6-Speed A/T,Silver,Black,1,1,7100.0,180.0,2.5
Lincoln,MKZ Hybrid Base,2014,78568,Hybrid,A/T,Blue,Beige,0,1,15500.0,188.0,2.0
Ford,Transit-350 XL,2018,95000,E85 Flex Fuel,A/T,White,Gray,0,1,43000.0,275.0,3.7
Porsche,911 GT2 RS,2018,4529,Gasoline,7-Speed Automatic with Auto-Shift,Black,Black,0,1,99175.0,364.5,3.8
Ford,Explorer Timberline,2021,25240,Gasoline,10-Speed Automatic,Gray,Ebony,1,0,39951.0,325.0,2.3
Volvo,XC90 3.2,2011,88300,Gasoline,A/T,Blue,Beige,1,1,11500.0,235.0,3.2
Chevrolet,Avalanche LTZ,2013,98000,E85 Flex Fuel,6-Speed A/T,Silver,Black,1,1,27499.0,320.0,5.3
Audi,TT RS 2.5T,2018,20675,Gasoline,Transmission w/Dual Shift Mode,Gray,Gray,0,1,76000.0,400.0,2.5
Lincoln,Navigator L,2008,95000,Gasoline,A/T,Black,Black,0,1,10900.0,300.0,5.4
Hyundai,Elantra GLS,2010,107000,Gasoline,4-Speed A/T,Blue,Blue,1,1,6250.0,138.0,2.0
Audi,SQ5 3.0T Premium Plus,2016,60000,Gasoline,Transmission w/Dual Shift Mode,Black,Black,1,1,24700.0,354.0,3.0
Mitsubishi,Lancer Evolution GSR,2012,33000,Gasoline,5-Speed M/T,Black,Black,0,1,34999.0,291.0,2.0
Tesla,Model Y Performance,2023,500,Gasoline,1-Speed A/T,Black,White,0,1,60000.0,455.0,3.5
Mercedes-Benz,Maybach S S 600,2016,108500,Gasoline,7-Speed A/T,White,Beige,0,1,63500.0,523.0,6.0
Nissan,GT-R Premium,2017,37800,Gasoline,Transmission w/Dual Shift Mode,Orange,Orange,0,1,99175.0,565.0,3.8
Mercedes-Benz,GLS 550 Base 4MATIC,2018,74422,Gasoline,Automatic,Obsidian Black Metallic,Gray,0,0,44798.0,449.0,4.7
Chevrolet,Blazer Premier,2019,55621,Gasoline,9-Speed Automatic,Silver Ice Metallic,Jet Black,0,0,34562.0,355.0,3.6
Mazda,CX-9 Grand Touring,2021,46707,Gasoline,6-Speed Automatic,Sonic Silver Metallic,Black,1,1,32541.0,273.0,2.5
Ford,Expedition Max Limited,2022,26500,Gasoline,A/T,White,Beige,0,1,65900.0,440.0,3.5
Nissan,Titan XD SV,2020,10001,Gasoline,9-Speed Automatic,Black,Black,0,1,47214.0,390.0,5.6
Lexus,LX 570 Three-Row,2019,19050,Gasoline,8-Speed A/T,Black,Beige,0,1,76900.0,383.0,5.7
Chevrolet,Traverse Premier,2020,52000,Gasoline,A/T,White,Black,0,1,35800.0,310.0,3.6
Mercedes-Benz,Sprinter High Roof,2014,65000,Diesel,7-Speed A/T,Black,Black,1,1,54999.0,188.0,3.0
BMW,X5 3.0i,2004,140000,Gasoline,Transmission w/Dual Shift Mode,Black,Beige,0,1,6730.0,225.0,3.0
Ford,Fusion SE,2018,75600,Gasoline,A/T,Blue,Black,1,1,14950.0,181.0,1.5
Lincoln,MKZ Base,2015,117292,Gasoline,A/T,Beige,Beige,0,1,12000.0,240.0,2.0
Ford,GT,2005,1897,Gasoline,Manual,White,–,0,0,99175.0,325.0,5.4
Genesis,G90 5.0 Ultimate,2017,26000,Gasoline,Transmission w/Dual Shift Mode,White,Beige,0,1,33600.0,420.0,5.0
Lexus,LC 500 Base,2022,2071,Gasoline,Automatic,Nightfall Mica,Caramel,0,0,99175.0,471.0,5.0
Ford,Shelby GT500 Base,2014,15629,Gasoline,6-Speed Manual,Black,Black,0,0,61900.0,760.0,5.8
Saturn,Sky Base,2008,15020,Gasoline,A/T,Silver,Red,0,1,18500.0,173.0,2.4
Audi,RS Q8 4.0T quattro,2022,11322,Gasoline,8-Speed Automatic,Daytona Gray Pearl Effect,Black / Express Red,0,0,99175.0,333.0,4.0
Toyota,Land Cruiser,2016,50361,Gasoline,Automatic,Silver,Black,0,0,65998.0,270.0,5.7
Mercedes-Benz,SL-Class SL 550,2013,115000,Gasoline,Transmission w/Dual Shift Mode,Black,Black,1,1,36000.0,429.0,4.6
Porsche,911 Carrera C2S,2005,28500,Gasoline,6-Speed M/T,Silver,Black,0,1,63500.0,355.0,3.8
Mercedes-Benz,AMG GLA 45 Base 4MATIC,2018,51700,Gasoline,Transmission w/Dual Shift Mode,White,Black,0,1,32000.0,375.0,2.0
Ford,Taurus X Limited,2008,148949,Gasoline,A/T,Blue,Beige,0,1,3900.0,263.0,3.5
BMW,440 Gran Coupe i,2018,39300,Gasoline,8-Speed A/T,White,Beige,1,1,31750.0,320.0,3.0
Honda,S2000 CR,2008,82323,Gasoline,6-Speed M/T,Black,Black,0,1,28500.0,237.0,2.2
Acura,Integra w/A-Spec Tech Package,2023,3574,Gasoline,Variable,Apex Blue,Orchid,0,0,34998.0,279.5,1.5
Ford,Excursion Limited,2001,109357,Gasoline,A/T,Green,Beige,0,1,12749.0,310.0,6.8
Mercedes-Benz,SL-Class SL500 Roadster,2004,46000,Gasoline,A/T,White,Gray,0,1,18853.0,302.0,5.0
Mercedes-Benz,CLS-Class CLS 550,2007,123112,Gasoline,A/T,Silver,Black,1,1,99175.0,382.0,5.5
INFINITI,G35 Sport,2007,37100,Gasoline,6-Speed M/T,Gray,Black,0,1,16900.0,306.0,3.5
Volkswagen,Golf GTI 2.0T S 4-Door,2016,89000,Gasoline,6-Speed M/T,Silver,Black,0,1,14500.0,210.0,2.0
Dodge,Challenger R/T Scat Pack,2022,1240,Gasoline,8-Speed Automatic,Go Mango!,Black,0,0,53900.0,345.0,6.4
Lincoln,Navigator L Reserve,2019,67073,Gasoline,10-Speed A/T,Black,Black,1,1,47999.0,450.0,3.5
Maserati,Ghibli S Q4,2015,28700,Gasoline,8-Speed A/T,White,Red,0,0,24900.0,404.0,3.0
Tesla,Model X Base,2023,8200,Gasoline,A/T,Black,Black,0,1,93999.0,670.0,3.5
Mercedes-Benz,AMG G 63 Base,2018,41000,Gasoline,Transmission w/Dual Shift Mode,Gray,Black,0,1,99175.0,563.0,5.5
