brand,model,model_year,milage,fuel_type,transmission,ext_col,int_col,accident,clean_title,price,hp,liters
Ford,Expedition Limited,2018,98995,Gasoline,Automatic,Ingot Silver Metallic,Ebony,0,0,34998.0,375.0,3.5
Volkswagen,Routan SE,2012,123815,Gasoline,6-Speed A/T,Black,Gray,0,1,5000.0,283.0,3.6
Bugatti,Veyron 16.4 Grand Sport,2011,6330,Gasoline,7-Speed Automatic with Auto-Shift,White,White,0,1,99175.0,316.0,8.0
Toyota,Highlander XLE,2020,61341,Gasoline,8-Speed Automatic,Midnight Black Metallic,Black,1,0,34084.0,295.0,3.5
Honda,Civic LX,2016,96473,Gasoline,Automatic CVT,Black,Black,0,0,15599.0,143.0,2.0
Jeep,Wrangler Unlimited Sahara,2017,66107,Gasoline,5-Speed Automatic,Black Clearcoat,Black,0,0,31331.0,285.0,3.6
Land,Rover Range Rover Supercharged,2008,114287,Gasoline,6-Speed A/T,Black,Black,0,1,9900.0,400.0,4.2
Acura,ILX 2.0L w/Premium Package,2015,75000,Gasoline,5-Speed A/T,Gold,Beige,0,1,14500.0,150.0,2.0
BMW,M6 Base,2016,45800,Gasoline,7-Speed A/T,Gold,Black,0,0,36800.0,560.0,4.4
Polestar,2 Launch Edition,2021,12172,Gasoline,1-Speed Automatic,Thunder Gray,Charcoal,0,0,35999.0,316.0,3.5
BMW,X6 sDrive35i,2016,70582,Gasoline,8-Speed A/T,Black,White,1,1,35000.0,300.0,3.0
Porsche,Cayman S,2014,33088,Gasoline,7-Speed A/T,Black,Black,0,1,49750.0,325.0,3.4
Lincoln,Corsair Grand Touring,2021,1850,Plug-In Hybrid,CVT Transmission,Silver,Beige,0,1,49000.0,266.0,2.5
Cadillac,DTS Luxury II,2008,94155,Gasoline,4-Speed A/T,White,Beige,0,1,10500.0,275.0,4.6
Cadillac,ATS 3.6L Luxury,2016,25000,Gasoline,8-Speed A/T,Red,Beige,0,1,17999.0,335.0,3.6
GMC,Sierra 1500 SLT,2016,99500,Gasoline,8-Speed A/T,Gray,Black,0,1,27995.0,355.0,5.3
INFINITI,G37 x,2009,158564,Gasoline,A/T,Blue,Beige,0,1,8750.0,328.0,3.7
Ford,Transit-350 XLT,2023,20000,Gasoline,10-Speed A/T,Black,Black,0,1,78499.0,310.0,3.5
Cadillac,XTS Luxury,2018,46711,Gasoline,6-Speed A/T,Silver,Black,1,1,20850.0,304.0,3.6
Nissan,NV Passenger NV3500 HD SL V8,2017,46496,Gasoline,A/T,Black,Gray,0,1,41000.0,375.0,5.6
Mercedes-Benz,GLS 450 Base 4MATIC,2019,19800,Gasoline,9-Speed A/T,Silver,Black,0,1,53800.0,362.0,3.0
Toyota,Land Cruiser Base,2008,175000,Gasoline,6-Speed A/T,Black,Beige,1,1,37900.0,381.0,5.7
Toyota,Land Cruiser Base,2016,61500,Gasoline,8-Speed A/T,White,Black,0,1,63500.0,381.0,5.7
RAM,ProMaster 2500 Window Van High Roof,2016,49750,Gasoline,6-Speed A/T,Black,Gray,0,1,65000.0,280.0,3.6
Lamborghini,Gallardo Base,2007,38800,Gasoline,Transmission w/Dual Shift Mode,Orange,Orange,0,1,99175.0,493.0,5.0
Lincoln,MKZ Base,2011,83765,Gasoline,A/T,Black,Black,0,1,8995.0,263.0,3.5
Mercedes-Benz,EQS 450 4MATIC,2023,7388,Gasoline,1-Speed A/T,Gray,Beige,0,1,99175.0,355.0,3.5
Lamborghini,Huracan Tecnica Coupe,2023,278,Gasoline,Automatic,Bianco Monocerus,Nero Ade,0,0,99175.0,573.0,5.2
Alfa,Romeo Giulia Quadrifoglio,2022,1966,Gasoline,8-Speed Automatic,Verde,Black,0,0,75900.0,505.0,2.9
Chevrolet,Trailblazer LT,2021,50648,Gasoline,Automatic CVT,Pacific Blue Metallic,Jet Black,0,0,23995.0,355.0,1.2
Toyota,Land Cruiser Base,1993,231500,Gasoline,A/T,White,Gray,0,1,29500.0,381.0,5.7
Lamborghini,Urus Base,2021,13692,Gasoline,8-Speed A/T,Black,Red,0,1,99175.0,641.0,4.0
INFINITI,G37 x,2013,60058,Gasoline,A/T,White,Beige,1,1,15000.0,328.0,3.7
Maserati,Levante S,2017,54423,Gasoline,8-Speed A/T,Black,Black,0,1,33950.0,424.0,3.0
Toyota,Highlander Limited,2022,24001,Gasoline,8-Speed Automatic,Wind Chill Pearl,Graphite,0,0,47498.0,270.0,3.5
Nissan,Armada SL,2022,14735,Gasoline,Automatic,White,Black,0,0,50998.0,395.0,5.6
Audi,Q5 Premium,2023,2425,Hybrid,Automatic,Mythos Black,–,0,0,42998.0,333.0,2.0
Ford,Shelby GT500 Base,2022,2050,Gasoline,Transmission w/Dual Shift Mode,Gray,Black,0,1,94999.0,760.0,5.2
Lincoln,Navigator L Reserve,2019,64855,Gasoline,10-Speed A/T,Silver,Beige,0,1,46995.0,450.0,3.5
Mercedes-Benz,EQS 450+ Base,2022,16238,Gasoline,1-Speed A/T,White,Beige,0,1,62479.0,329.0,3.5
RAM,1500 Laramie,2022,18051,Gasoline,Automatic,Patriot Blue Pearlcoat,Black,0,1,47995.0,395.0,5.7
Lincoln,Town Car Base,2004,36524,Gasoline,4-Speed A/T,Black,Black,0,1,14900.0,239.0,4.6
Acura,TLX w/A-Spec Package,2022,14896,Gasoline,2,Lunar Silver Metallic,Ebony,0,0,39998.0,279.5,2.0
Toyota,Camry Hybrid LE,2022,14048,Hybrid,Automatic CVT,Black,Black,0,0,29999.0,208.0,2.5
Honda,CR-V EX,2003,224000,Gasoline,M/T,Black,Gray,0,1,3900.0,160.0,2.4
Mercedes-Benz,E-Class E 550,2014,80581,Gasoline,Transmission w/Dual Shift Mode,Gray,Beige,0,1,26000.0,402.0,4.7
Mazda,MX-5 Miata Grand Touring,2007,81400,Gasoline,6-Speed M/T,Red,–,1,1,11000.0,166.0,2.0
Porsche,718 Boxster Base,2019,6700,Gasoline,7-Speed A/T,Gray,Black,0,1,63000.0,300.0,2.0
Ford,Transit-350 XLT,2015,143000,Gasoline,6-Speed A/T,Silver,Gray,0,1,22500.0,275.0,3.7
Kia,Sportage SX Turbo,2017,87842,Gasoline,6-Speed Automatic,Black Cherry,Black,0,1,18688.0,201.0,2.0
INFINITI,G37 S Sport,2010,116451,Gasoline,6-Speed M/T,White,Gray,0,1,16500.0,328.0,3.7
Nissan,Titan XD S,2019,53677,Gasoline,7-Speed A/T,Red,Gray,0,1,27900.0,390.0,5.6
Audi,S7 2.9T Prestige,2021,12000,Hybrid,8-Speed A/T,Gray,Black,0,1,77500.0,444.0,2.9
Land,Rover Discovery HSE,2019,20034,Gasoline,Automatic,Yulong White,Tan/Ebony,0,0,43998.0,340.0,3.0
Ford,Transit-350 XLT,2020,32000,Diesel,A/T,Black,Black,0,1,68000.0,210.0,2.0
INFINITI,Q70 3.7,2014,70312,Gasoline,7-Speed A/T,Black,Black,0,1,19995.0,330.0,3.7
Jeep,Gladiator Rubicon,2022,8794,Gasoline,A/T,White,Black,0,1,54000.0,285.0,3.6
Lincoln,MKX Base,2010,156000,Gasoline,6-Speed A/T,Black,Black,1,1,5900.0,265.0,3.5
Porsche,911 Carrera 4S,2020,25568,Gasoline,7-Speed Manual,Red,Black,0,1,99175.0,355.0,3.0
Mercedes-Benz,AMG C 43 Base 4MATIC,2018,67100,Gasoline,Transmission w/Dual Shift Mode,Gray,Black,1,1,34250.0,362.0,3.0
Porsche,Cayman Base,2014,52000,Gasoline,Transmission w/Dual Shift Mode,Blue,Beige,1,1,37000.0,275.0,2.7
Acura,MDX 3.7L Advance,2011,137200,Gasoline,Transmission w/Dual Shift Mode,White,Gray,0,1,12000.0,300.0,3.7
Volkswagen,Golf R 4-Door w/DCC & Navigation,2018,36000,Gasoline,7-Speed A/T,White,Black,1,1,32000.0,292.0,2.0
